subtheme,daily_return,weekly_return,monthly_return,volume_ratio,daily_score,weekly_score,monthly_score,volume_score,sector_strength_score,updated_at
Networking,-0.10576376037036857,0.038662153398208776,0.16205223017382184,1.5278410051574038,47.05882352941176,100.0,82.35294117647058,82.35294117647058,82.35,2026-06-05
Equipment,-0.065850331668796,0.017969183445317,0.0627937391491255,1.597788233578406,70.58823529411765,94.11764705882352,58.82352941176471,88.23529411764706,78.24,2026-06-05
Foundry,-0.0668659514118082,-0.0078384482820234,-0.0103217796716701,1.4576575519640949,64.70588235294117,88.23529411764706,47.05882352941176,76.47058823529412,70.0,2026-06-05
Cloud Software,-0.0389573286345952,-0.0535274112248177,0.6290445318569544,1.01280375478518,88.23529411764706,52.94117647058824,94.11764705882352,29.411764705882355,70.0,2026-06-05
GPU,-0.0620140735913812,-0.0274744607237465,-0.0119855274262006,1.2140630771809646,76.47058823529412,82.35294117647058,41.17647058823529,52.94117647058824,65.88,2026-06-05
AI-RAN,-0.1347774134586506,-0.0309973068340403,0.0902199068927518,1.453044519900128,23.52941176470588,76.47058823529412,70.58823529411765,70.58823529411765,63.53,2026-06-05
Optical,-0.0776143237915293,-0.04026156048389655,0.06857081754997846,1.450511081040239,58.82352941176471,64.70588235294117,64.70588235294117,64.70588235294117,63.53,2026-06-05
Developer Tools,-0.0199999879733682,-0.0756435214522748,0.1201576329082581,0.5781397791524607,100.0,47.05882352941176,76.47058823529412,5.88235294117647,62.35,2026-06-05
Power,-0.0524258899408575,-0.03187452134552857,-0.1287273041058867,1.1128154995134822,82.35294117647058,70.58823529411765,29.411764705882355,41.17647058823529,57.65,2026-06-05
Memory,-0.12319086964465936,-0.0951108647715314,0.201040197250204,1.201942533125775,35.294117647058826,41.17647058823529,88.23529411764706,47.05882352941176,54.71,2026-06-05
NeoCloud,-0.09670766734365929,-0.04882052592060205,-0.052356647912628354,1.0481497961140926,52.94117647058824,58.82352941176471,35.294117647058826,35.294117647058826,48.24,2026-06-05
Energy,-0.0368872392831212,-0.1144048589711392,-0.2092882526658199,0.9314620139487436,94.11764705882352,35.294117647058826,17.647058823529413,23.52941176470588,40.59,2026-06-05
Space Infrastructure,-0.1390573728324491,-0.2490842087057074,0.9139004259184532,0.8821018441525937,11.76470588235294,11.76470588235294,100.0,17.647058823529413,38.82,2026-06-05
SMR,-0.11831892724574769,-0.1513500555541391,-0.24689113773751653,1.2639250023052107,41.17647058823529,29.411764705882355,11.76470588235294,58.82352941176471,29.41,2026-06-05
Quantum Hardware,-0.1388006744555753,-0.20371245337264454,0.03676361016002063,0.7897088255538308,17.647058823529413,17.647058823529413,52.94117647058824,11.76470588235294,27.65,2026-06-05
Nuclear Fuel,-0.1347150830860569,-0.1750823106807235,-0.3609694115456546,2.044885677495996,29.411764705882355,23.52941176470588,5.88235294117647,94.11764705882352,26.47,2026-06-05
Satellite Data,-0.2598207644327537,-0.3699647711136857,-0.1882085579357768,2.9068256834360704,5.88235294117647,5.88235294117647,23.52941176470588,100.0,20.59,2026-06-05
