subtheme,daily_return,weekly_return,monthly_return,volume_ratio,daily_score,weekly_score,monthly_score,volume_score,sector_strength_score,updated_at,date
Foundry,0.0633346387811346,0.099951559039241,0.1234469406678668,0.9735338407021848,100.0,85.71428571428571,71.42857142857143,85.71428571428571,84.29,2026-06-01,2026-06-01
Optical,-0.0113121136412915,0.0684492317090499,0.3410723980063346,0.8556168745286805,28.57142857142857,71.42857142857143,100.0,71.42857142857143,71.43,2026-06-01,2026-06-01
Networking,0.0498510335578753,0.1093270852505916,0.0450794825927295,0.6465397962683485,71.42857142857143,100.0,42.85714285714285,42.85714285714285,71.43,2026-06-01,2026-06-01
GPU,0.0502510213177149,0.0298146942569683,0.1111389079609941,0.7699358956284286,85.71428571428571,57.14285714285714,57.14285714285714,57.14285714285714,62.86,2026-06-01,2026-06-01
Equipment,0.0176653625225462,0.0051135865399558,0.140556926134477,0.4424631626431251,57.14285714285714,42.85714285714285,85.71428571428571,14.285714285714285,55.71,2026-06-01,2026-06-01
Power,0.0067496397963781,-0.019950584480205,-0.0658406730790706,0.5782997096579823,42.85714285714285,28.57142857142857,28.57142857142857,28.57142857142857,31.43,2026-06-01,2026-06-01
Energy,-0.0591138480125977,-0.079334908385002,-0.1336721327547924,1.78129492721715,14.285714285714285,14.285714285714285,14.285714285714285,100.0,22.86,2026-06-01,2026-06-01
Equipment,0.047157967640951,0.0449378776761291,0.195056811941132,0.912817281475818,100.0,71.42857142857143,85.71428571428571,42.857142857142854,78.57,2026-06-03,2026-06-03
Networking,0.03710180879488185,0.12537372653689144,0.07917011968548354,1.145069108730609,85.71428571428571,100.0,42.857142857142854,71.42857142857143,77.14,2026-06-03,2026-06-03
Foundry,0.0253885118899672,0.0833575730177007,0.123268004522498,0.7556550208960413,42.857142857142854,85.71428571428571,71.42857142857143,14.285714285714285,65.71,2026-06-03,2026-06-03
Optical,0.01282615576382,0.0332070051913893,0.2420001840522072,2.138634851265414,28.57142857142857,42.857142857142854,100.0,100.0,62.86,2026-06-03,2026-06-03
GPU,-0.0068639386786566,0.0370474108314959,0.1228017674514376,0.9561168532485644,14.285714285714285,57.14285714285714,57.14285714285714,57.14285714285714,48.57,2026-06-03,2026-06-03
Power,0.032763488973580564,-0.008519056294779134,-0.028284933624271633,0.8372720173486191,71.42857142857143,28.57142857142857,28.57142857142857,28.57142857142857,37.14,2026-06-03,2026-06-03
Energy,0.0261572501699314,-0.0958981753004448,-0.1128500772192836,1.732175422078619,57.14285714285714,14.285714285714285,14.285714285714285,85.71428571428571,30.0,2026-06-03,2026-06-03
