date,ticker,company,sector,industry_group,theme,subtheme,supply_chain_layer,business_quality_score,latest_close,daily_return,weekly_return,monthly_return,ma20,ma50,ma200,above_20dma,above_50dma,above_200dma,high_52w,low_52w,distance_to_52w_high,latest_volume,avg_volume_20d,volume_ratio,updated_at
2026-06-04,NVDA,NVIDIA,Technology,Semiconductor,AI Infrastructure,GPU,Compute,10,218.6600036621093,0.0182072347478898,0.0205834476644544,0.1127735555323632,219.42450180053712,202.91860076904297,188.4142226409912,False,True,True,235.7400054931641,139.95703125,-0.0724527082084502,167707274.0,175194203.7,0.9572649691492048,2026-06-04
2026-06-04,AVGO,Broadcom,Technology,Semiconductor,AI Infrastructure,Networking,Connectivity,9,418.9100036621094,-0.125868593246218,-0.0179801752346319,-0.0197725149267352,430.3605010986328,397.0694006347656,354.4592219543457,False,True,True,481.5700073242188,242.3166046142578,-0.1301160842849652,80554978.0,26101333.9,3.086239895195548,2026-06-04
2026-06-04,ANET,Arista,Technology,Networking Equipment,AI Infrastructure,Networking,Connectivity,8,166.00999450683594,-0.0479440319117582,0.069169768396019,-0.0247327381252253,151.64049911499023,151.89099945068358,140.83229953765868,True,True,True,177.72999572753906,86.25,-0.0659427305600679,8901442.0,11870112.1,0.7499037856601203,2026-06-04
2026-06-04,CRDO,Credo,Technology,Semiconductor,AI Infrastructure,Optical,Connectivity,7,217.5,0.0135134846878126,-0.0218124846880268,0.1236244860790849,202.0072509765625,168.48070037841796,147.2953004837036,True,True,True,236.02999877929688,68.52999877929688,-0.0785069646872456,7420666.0,7714003.3,0.9619734023188712,2026-06-04
2026-06-04,TSM,TSMC,Technology,Semiconductor Foundry,AI Infrastructure,Foundry,Manufacturing,9,444.9200134277344,0.0188463462417654,0.0472156210700158,0.1280647278127784,414.6830001831055,387.68,324.4023735809326,True,True,True,446.6900024414063,200.85232543945312,-0.0039624549553334,10923566.0,12756838.3,0.8562910137380983,2026-06-04
2026-06-04,ASML,ASML,Technology,Semicap Equipment,AI Infrastructure,Equipment,Manufacturing Equipment,10,1757.469970703125,0.0180205667505826,0.094471779474472,0.2179953962644754,1591.8164978027344,1481.632578125,1210.930746154785,True,True,True,1757.469970703125,686.0034790039062,0.0,2243501.0,1623030.05,1.382291720353545,2026-06-04
2026-06-04,VRT,Vertiv,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,7,323.9200134277344,-0.0226888394831016,0.0310014035871608,-0.0501436166114355,337.395002746582,312.589001159668,215.1007843399048,False,True,True,376.2300109863281,108.3360824584961,-0.1390372804696185,6057957.0,5756297.85,1.0524050627435828,2026-06-04
2026-06-04,ETN,Eaton,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,8,418.6099853515625,-0.0061727075716647,0.0414738090483699,0.0216785291357628,400.52149963378906,396.98945861816406,364.25456619262695,True,True,True,431.8166809082031,313.9706115722656,-0.0305840328559426,1859048.0,2640942.4,0.7039335655332734,2026-06-04
2026-06-04,GEV,GE Vernova,Industrials,Power Equipment,AI Infrastructure,Power,Grid Infrastructure,7,963.3300170898438,0.0041382085962511,-0.0328011876607994,-0.1204152158502712,1023.6939910888672,1007.42279296875,754.4565365600586,False,False,True,1149.530029296875,464.2908935546875,-0.1619792501818528,2177824.0,2369956.2,0.9189300629269012,2026-06-04
2026-06-04,CEG,Constellation Energy,Utilities,Power Generation,AI Infrastructure,Energy,Power Supply,6,264.5899963378906,-0.0099161577358248,-0.0758618329988917,-0.1729571072288277,282.05711975097654,289.9270831298828,321.1789219665527,False,False,False,402.3219604492188,246.3466033935547,-0.3423426450734664,3281759.0,4260127.95,0.7703428250318162,2026-06-04
2026-06-05,NVDA,NVIDIA,Technology,Semiconductor,AI Infrastructure,GPU,Compute,10,205.1000061035156,-0.0620140735913812,-0.0274744607237465,-0.0119855274262006,218.8741012573242,203.2200277709961,188.34462348937987,False,True,True,235.465576171875,141.52166748046875,-0.1289597000208405,215650478.0,177627078.9,1.2140630771809646,2026-06-05
2026-06-05,AVGO,Broadcom,Technology,Semiconductor,AI Infrastructure,Networking,Connectivity,9,385.7300109863281,-0.0792055391032009,-0.1366250632950993,-0.0933386405302759,429.01900177001954,398.4078009033203,354.92173080444337,False,False,True,481.5700073242188,242.31661987304688,-0.1990157087863779,49843645.0,27475152.25,1.8141353520616068,2026-06-05
2026-06-05,ANET,Arista,Technology,Networking Equipment,AI Infrastructure,Networking,Connectivity,8,154.27000427246094,-0.070718574922256,-0.0326079946600458,0.0490276542469985,152.2664993286133,152.2761996459961,140.93974956512452,True,True,True,177.72999572753906,86.25,-0.1319979295506337,9017896.0,11473849.8,0.7859520698972371,2026-06-05
2026-06-05,CRDO,Credo,Technology,Semiconductor,AI Infrastructure,Optical,Connectivity,7,206.88999938964844,-0.0487816120016163,-0.1234588803980641,0.0433708527646465,202.93725128173827,170.54030029296874,147.79825046539307,True,True,True,236.02999877929688,68.52999877929688,-0.1234588803980641,15381457.0,8209052.85,1.87371884199771,2026-06-05
2026-06-05,TSM,TSMC,Technology,Semiconductor Foundry,AI Infrastructure,Foundry,Manufacturing,9,415.1700134277344,-0.0668659514118082,-0.0078384482820234,-0.0103217796716701,414.734001159668,389.02840026855466,325.3247560119629,True,True,True,446.6900024414063,202.6698303222656,-0.070563453046627,19007222.0,13039566.1,1.4576575519640949,2026-06-05
2026-06-05,ASML,ASML,Technology,Semicap Equipment,AI Infrastructure,Equipment,Manufacturing Equipment,10,1641.739990234375,-0.065850331668796,0.017969183445317,0.0627937391491255,1598.0734985351562,1486.6503369140626,1215.4409475708007,True,True,True,1757.469970703125,686.0034790039062,-0.065850331668796,2668906.0,1670375.3,1.597788233578406,2026-06-05
2026-06-05,VRT,Vertiv,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,7,300.510009765625,-0.0722709394037861,-0.0481453932433301,-0.1627382187587869,335.42000274658204,313.0760012817383,215.9586599349976,False,False,True,376.2300109863281,108.33609008789062,-0.2012598650017175,7287543.0,5848667.15,1.24601773585286,2026-06-05
2026-06-05,ETN,Eaton,Industrials,Electrical Equipment,AI Infrastructure,Power,Power Infrastructure,8,395.9400024414063,-0.0541553801950454,-0.0116325601375683,-0.0577988250591591,400.4160003662109,397.4289276123047,364.5042614746094,False,False,True,431.8166809082031,313.9706420898437,-0.0830831231237767,2169152.0,2569937.6,0.8440485091933749,2026-06-05
2026-06-05,GEV,GE Vernova,Industrials,Power Equipment,AI Infrastructure,Power,Grid Infrastructure,7,933.6099853515624,-0.030851350223741,-0.0358456106556873,-0.1656448684997141,1018.0929901123048,1007.6211926269532,756.114231262207,False,False,True,1149.530029296875,464.2908935546875,-0.1878333218292547,2983431.0,2389841.55,1.248380253494212,2026-06-05
