date,indicator,value,level,source,status,error_message,change_1d,change_5d,change_20d,updated_at
2026-06-26,CNN_FEAR_GREED,,unknown,cnn_unofficial,failed,https://production.dataviz.cnn.io/index/fearandgreed/graphdata/2026-06-26: 418 Client Error: Unknown Error for url: https://production.dataviz.cnn.io/index/fearandgreed/graphdata/2026-06-26; https://production.dataviz.cnn.io/index/fearandgreed/graphdata: 418 Client Error: Unknown Error for url: https://production.dataviz.cnn.io/index/fearandgreed/graphdata,,,,2026-06-26
2026-06-26,VIX,18.80,normal,yfinance,ok,,,,,2026-06-26
