signal_date,ticker,company,daily_return,weekly_return,monthly_return,volume_ratio,group_type,group_name,signal_type,message
2026-07-15,NVDA,NVIDIA,0.0033049902651376,0.0410543066983783,0.0356255054906058,0.8259990973222175,,,strong_trend,NVDA is above 20/50/200-day moving averages.
2026-07-15,ANET,Arista,-0.0583338375857132,-0.0504280846667671,0.0531731951953697,0.9150660450992284,,,single_stock_big_down,ANET single-day drop <= -5%.
2026-07-15,ANET,Arista,-0.0583338375857132,-0.0504280846667671,0.0531731951953697,0.9150660450992284,,,strong_trend,ANET is above 20/50/200-day moving averages.
2026-07-15,ETN,Eaton,-0.0064016262332492,0.0332865849290089,0.054855693552658,0.8356693151231294,,,strong_trend,ETN is above 20/50/200-day moving averages.
2026-07-15,MRVL,Marvell,-0.0727387509305227,-0.1096160339337047,-0.2623851229555026,0.5594079397004207,,,single_stock_big_down,MRVL single-day drop <= -5%.
2026-07-15,DDOG,Datadog,-0.023159676714107,0.0129074080372892,0.1503262221666472,0.6387162476805285,,,near_52w_high,DDOG is within 5% of its 52-week high.
2026-07-15,DDOG,Datadog,-0.023159676714107,0.0129074080372892,0.1503262221666472,0.6387162476805285,,,strong_trend,DDOG is above 20/50/200-day moving averages.
2026-07-15,RGTI,Rigetti Computing,-0.0533830277944846,-0.098699767657432,-0.2731172386682305,0.79028226491734,,,single_stock_big_down,RGTI single-day drop <= -5%.
2026-07-15,MU,Micron,-0.0801936347667456,-0.0469223851906374,-0.0786370215590889,1.033578291947651,,,single_stock_big_down,MU single-day drop <= -5%.
2026-07-15,SNDK,Sandisk,-0.081248336378575,-0.0649498316460479,-0.1843846169827357,1.5100673658650772,,,single_stock_big_down,SNDK single-day drop <= -5%.
2026-07-15,SNDK,Sandisk,-0.081248336378575,-0.0649498316460479,-0.1843846169827357,1.5100673658650772,,,volume_down,SNDK fell with high volume.
2026-07-15,AEHR,Aehr Test Systems,0.2191362076263217,0.2931212506228593,-0.190651793790417,5.2813167390522455,,,single_stock_big_up,AEHR single-day gain >= 5%.
2026-07-15,AEHR,Aehr Test Systems,0.2191362076263217,0.2931212506228593,-0.190651793790417,5.2813167390522455,,,volume_up,AEHR rose with high volume.
2026-07-15,DELL,Dell Technologies,-0.0980461053270628,-0.0446558985355702,0.0432540006440345,1.5067147579655615,,,single_stock_big_down,DELL single-day drop <= -5%.
2026-07-15,DELL,Dell Technologies,-0.0980461053270628,-0.0446558985355702,0.0432540006440345,1.5067147579655615,,,volume_down,DELL fell with high volume.
2026-07-15,GLW,Corning,-0.0705073319685212,-0.0522740595609335,-0.026729873703716,0.7799249065673681,,,single_stock_big_down,GLW single-day drop <= -5%.
2026-07-15,CIEN,Ciena,-0.0637012545303852,-0.0510465784595602,-0.0617068452695599,0.5773493339431357,,,single_stock_big_down,CIEN single-day drop <= -5%.
2026-07-15,STX,Seagate Technology,-0.0569389052892896,-0.036882899255729,-0.1097153567241717,0.9109440232775008,,,single_stock_big_down,STX single-day drop <= -5%.
2026-07-15,NET,Cloudflare,-0.0309139004616791,-0.0013166984623225,0.1950280709498977,0.7587179038034811,,,near_52w_high,NET is within 5% of its 52-week high.
2026-07-15,NET,Cloudflare,-0.0309139004616791,-0.0013166984623225,0.1950280709498977,0.7587179038034811,,,strong_trend,NET is above 20/50/200-day moving averages.
2026-07-15,SNOW,Snowflake,-0.0147496096550299,0.0404117624938016,0.1679267829834152,0.596275215182947,,,near_52w_high,SNOW is within 5% of its 52-week high.
2026-07-15,SNOW,Snowflake,-0.0147496096550299,0.0404117624938016,0.1679267829834152,0.596275215182947,,,strong_trend,SNOW is above 20/50/200-day moving averages.
2026-07-15,CRWD,CrowdStrike,-0.0187917787470472,0.0818857762406148,0.2113064321562672,1.0235642840214931,,,near_52w_high,CRWD is within 5% of its 52-week high.
2026-07-15,CRWD,CrowdStrike,-0.0187917787470472,0.0818857762406148,0.2113064321562672,1.0235642840214931,,,strong_trend,CRWD is above 20/50/200-day moving averages.
2026-07-15,LITE,Lumentum,-0.0770741147935872,0.0634988346263993,-0.1839923586177718,0.8336049988039157,,,single_stock_big_down,LITE single-day drop <= -5%.
2026-07-15,,,-0.01868926014529824,-0.021644028234083897,-0.10894910956177138,1.0208981855496795,theme,AI Infrastructure,group_summary,"theme=AI Infrastructure: avg daily return=-1.87%, avg weekly return=-2.16%, avg volume ratio=1.02"
2026-07-15,,,-0.027376530814744966,-0.038353425016206,-0.17251156585825278,0.6598431814955019,theme,Nuclear,group_summary,"theme=Nuclear: avg daily return=-2.74%, avg weekly return=-3.84%, avg volume ratio=0.66"
2026-07-15,,,-0.044857053690543436,-0.12714968764814102,-0.280981573325167,0.7916499500447195,theme,Quantum,group_summary,"theme=Quantum: avg daily return=-4.49%, avg weekly return=-12.71%, avg volume ratio=0.79"
2026-07-15,,,-0.007172804267682728,0.0066142631795340695,0.09970095925450273,0.7470627118391296,theme,Software,group_summary,"theme=Software: avg daily return=-0.72%, avg weekly return=0.66%, avg volume ratio=0.75"
2026-07-15,,,-0.03241798859844055,-0.10900732589133424,-0.29079722800259156,0.6431472999031973,theme,Space Economy,group_summary,"theme=Space Economy: avg daily return=-3.24%, avg weekly return=-10.90%, avg volume ratio=0.64"
2026-07-15,,,-0.06389133919212965,-0.0583234057235973,-0.0525869888266671,1.2741801070752987,subtheme,AI Servers,group_summary,"subtheme=AI Servers: avg daily return=-6.39%, avg weekly return=-5.83%, avg volume ratio=1.27"
2026-07-15,,,-0.0384615227864179,-0.0585773908316223,-0.2398648746610993,1.2799372052441556,subtheme,AI-RAN,group_summary,"subtheme=AI-RAN: avg daily return=-3.85%, avg weekly return=-5.86%, avg volume ratio=1.28"
2026-07-15,,,0.0083522649299283,-0.1330000817028128,-0.0886526541484206,0.7947950164644851,subtheme,AdTech & AI Applications,group_summary,"subtheme=AdTech & AI Applications: avg daily return=0.84%, avg weekly return=-13.30%, avg volume ratio=0.79"
2026-07-15,,,-0.023159676714107,0.0129074080372892,0.1503262221666472,0.6387162476805285,subtheme,Cloud Software,group_summary,"subtheme=Cloud Software: avg daily return=-2.32%, avg weekly return=1.29%, avg volume ratio=0.64"
2026-07-15,,,-0.0083980670080247,-0.0074580200067392,0.022606744882109,0.90380592953269,subtheme,Connectivity,group_summary,"subtheme=Connectivity: avg daily return=-0.84%, avg weekly return=-0.75%, avg volume ratio=0.90"
2026-07-15,,,-0.0187917787470472,0.0818857762406148,0.2113064321562672,1.0235642840214931,subtheme,Cybersecurity,group_summary,"subtheme=Cybersecurity: avg daily return=-1.88%, avg weekly return=8.19%, avg volume ratio=1.02"
2026-07-15,,,-0.0158912154888946,0.0122594094022523,-0.2213878916776067,0.7866462335360057,subtheme,Data Center Construction,group_summary,"subtheme=Data Center Construction: avg daily return=-1.59%, avg weekly return=1.23%, avg volume ratio=0.79"
2026-07-15,,,-0.0009183837090739,0.0065257882358709,-0.0314912163364384,0.8486274897747728,subtheme,Data Centers,group_summary,"subtheme=Data Centers: avg daily return=-0.09%, avg weekly return=0.65%, avg volume ratio=0.85"
2026-07-15,,,-0.0147496096550299,0.0404117624938016,0.1679267829834152,0.596275215182947,subtheme,Data Cloud,group_summary,"subtheme=Data Cloud: avg daily return=-1.47%, avg weekly return=4.04%, avg volume ratio=0.60"
2026-07-15,,,0.0301975163529233,0.0737100190989263,0.0367148680891253,0.7884434292016208,subtheme,Developer Tools,group_summary,"subtheme=Developer Tools: avg daily return=3.02%, avg weekly return=7.37%, avg volume ratio=0.79"
2026-07-15,,,-0.0309139004616791,-0.0013166984623225,0.1950280709498977,0.7587179038034811,subtheme,Edge Cloud & Security,group_summary,"subtheme=Edge Cloud & Security: avg daily return=-3.09%, avg weekly return=-0.13%, avg volume ratio=0.76"
2026-07-15,,,0.0065709847003903,0.0555986656484988,0.017161868780785,0.5707755480957384,subtheme,Energy,group_summary,"subtheme=Energy: avg daily return=0.66%, avg weekly return=5.56%, avg volume ratio=0.57"
2026-07-15,,,-0.0153747454450137,0.0019556540203899,-0.3517502961176967,0.6335672857148251,subtheme,Energy Storage,group_summary,"subtheme=Energy Storage: avg daily return=-1.54%, avg weekly return=0.20%, avg volume ratio=0.63"
2026-07-15,,,-0.0015810059437167505,0.0206847583482715,-0.07196217424071565,1.292072279003157,subtheme,Equipment,group_summary,"subtheme=Equipment: avg daily return=-0.16%, avg weekly return=2.07%, avg volume ratio=1.29"
2026-07-15,,,-0.0021646652641604,-0.040047598425612,-0.010496973005768,1.1333870056666326,subtheme,Foundry,group_summary,"subtheme=Foundry: avg daily return=-0.22%, avg weekly return=-4.00%, avg volume ratio=1.13"
2026-07-15,,,0.0033049902651376,0.0410543066983783,0.0356255054906058,0.8259990973222175,subtheme,GPU,group_summary,"subtheme=GPU: avg daily return=0.33%, avg weekly return=4.11%, avg volume ratio=0.83"
2026-07-15,,,-0.0807209855726603,-0.05593610841834265,-0.1315108192709123,1.2718228289063642,subtheme,Memory,group_summary,"subtheme=Memory: avg daily return=-8.07%, avg weekly return=-5.59%, avg volume ratio=1.27"
2026-07-15,,,-0.0236287524071725,-0.0615651225608935,-0.2979666955267677,0.7012677415675016,subtheme,Memory Interface,group_summary,"subtheme=Memory Interface: avg daily return=-2.36%, avg weekly return=-6.16%, avg volume ratio=0.70"
2026-07-15,,,0.005044772951613501,-0.09625885534669423,-0.2529723846704633,1.007135046006794,subtheme,NeoCloud,group_summary,"subtheme=NeoCloud: avg daily return=0.50%, avg weekly return=-9.63%, avg volume ratio=1.01"
2026-07-15,,,-0.0392619407495634,-0.04855416240537717,-0.05854040803339059,0.6881354935079339,subtheme,Networking,group_summary,"subtheme=Networking: avg daily return=-3.93%, avg weekly return=-4.86%, avg volume ratio=0.69"
2026-07-15,,,-0.0423280034254425,-0.0357686647449476,-0.1575797800246192,0.7337310737222306,subtheme,Nuclear Fuel,group_summary,"subtheme=Nuclear Fuel: avg daily return=-4.23%, avg weekly return=-3.58%, avg volume ratio=0.73"
2026-07-15,,,-0.057580602530001565,-0.04381223462519868,-0.11816965813465337,0.7554371861215612,subtheme,Optical,group_summary,"subtheme=Optical: avg daily return=-5.76%, avg weekly return=-4.38%, avg volume ratio=0.76"
2026-07-15,,,0.06846486222770043,0.11606024738196345,-0.14615878872896004,2.249209584836627,subtheme,Optical Test & Metrology,group_summary,"subtheme=Optical Test & Metrology: avg daily return=6.85%, avg weekly return=11.61%, avg volume ratio=2.25"
2026-07-15,,,-0.007430501206690725,-0.020418982486845524,0.02575393363820315,0.7106417887171115,subtheme,Power,group_summary,"subtheme=Power: avg daily return=-0.74%, avg weekly return=-2.04%, avg volume ratio=0.71"
2026-07-15,,,-0.044857053690543436,-0.12714968764814102,-0.280981573325167,0.7916499500447195,subtheme,Quantum Hardware,group_summary,"subtheme=Quantum Hardware: avg daily return=-4.49%, avg weekly return=-12.71%, avg volume ratio=0.79"
2026-07-15,,,-0.019900794509396198,-0.0396458051518352,-0.17997745877506954,0.6228992353821377,subtheme,SMR,group_summary,"subtheme=SMR: avg daily return=-1.99%, avg weekly return=-3.96%, avg volume ratio=0.62"
2026-07-15,,,-0.0258215908138625,-0.1027027164493594,-0.2006420570317454,0.5664953547713506,subtheme,Satellite Data,group_summary,"subtheme=Satellite Data: avg daily return=-2.58%, avg weekly return=-10.27%, avg volume ratio=0.57"
2026-07-15,,,-0.0390143863830186,-0.1153119353333091,-0.3809523989734377,0.7197992450350441,subtheme,Space Infrastructure,group_summary,"subtheme=Space Infrastructure: avg daily return=-3.90%, avg weekly return=-11.53%, avg volume ratio=0.72"
2026-07-15,,,-0.0569389052892896,-0.036882899255729,-0.1097153567241717,0.9109440232775008,subtheme,Storage,group_summary,"subtheme=Storage: avg daily return=-5.69%, avg weekly return=-3.69%, avg volume ratio=0.91"
2026-07-15,,,-0.0011444455787675,-0.0282983434487581,0.0252569925845871,0.6289268865193521,subtheme,Workflow Automation,group_summary,"subtheme=Workflow Automation: avg daily return=-0.11%, avg weekly return=-2.83%, avg volume ratio=0.63"
