date,horizon_days,ranking_group,rank,ticker,sector_id,sector_name,sector_name_cn,adj_close,reference_date,reference_adj_close,adj_close_return,universe_size
2026-07-28,250,top,1,XLE,energy,Energy,能源,57.5699996948242,2025-11-20,43.4551048278809,0.324815575128638,11
2026-07-28,250,top,2,XLK,information_technology,Information Technology,信息技术,171.089996337891,2025-11-20,135.53857421875,0.262297447970517,11
2026-07-28,250,top,3,XLB,materials,Materials,原材料,52.3400001525879,2025-11-20,41.6713027954102,0.256020249944113,11
2026-07-28,250,bottom,1,XLC,communication_services,Communication Services,通信服务,109.669998168945,2025-11-20,108.982933044434,0.0063043368839377,11
2026-07-28,250,bottom,2,XLY,consumer_discretionary,Consumer Discretionary,可选消费,112.480003356934,2025-11-20,109.920997619629,0.0232804085909035,11
2026-07-28,250,bottom,3,XLU,utilities,Utilities,公用事业,45.5200004577637,2025-11-20,43.1042137145996,0.0560452571797134,11
2026-07-28,90,top,1,XLV,health_care,Health Care,医疗保健,167.259994506836,2026-04-29,142.212799072266,0.176124762313711,11
2026-07-28,90,top,2,XLF,financials,Financials,金融,57.5999984741211,2026-04-29,51.7387580871582,0.113285293340229,11
2026-07-28,90,top,3,XLK,information_technology,Information Technology,信息技术,171.089996337891,2026-04-29,158.920501708984,0.076575989240149,11
2026-07-28,90,bottom,1,XLC,communication_services,Communication Services,通信服务,109.669998168945,2026-04-29,114.990852355957,-0.0462719779703944,11
2026-07-28,90,bottom,2,XLY,consumer_discretionary,Consumer Discretionary,可选消费,112.480003356934,2026-04-29,116.607635498047,-0.0353976146028826,11
2026-07-28,90,bottom,3,XLE,energy,Energy,能源,57.5699996948242,2026-04-29,58.6073379516602,-0.0176998016475608,11
2026-07-28,30,top,1,XLF,financials,Financials,金融,57.5999984741211,2026-06-26,53.5699996948242,0.075228650406101,11
2026-07-28,30,top,2,XLE,energy,Energy,能源,57.5699996948242,2026-06-26,53.8400001525879,0.0692793375123539,11
2026-07-28,30,top,3,XLV,health_care,Health Care,医疗保健,167.259994506836,2026-06-26,160.339996337891,0.0431582782025424,11
2026-07-28,30,bottom,1,XLK,information_technology,Information Technology,信息技术,171.089996337891,2026-06-26,181.110000610352,-0.055325516198404,11
2026-07-28,30,bottom,2,XLY,consumer_discretionary,Consumer Discretionary,可选消费,112.480003356934,2026-06-26,114.370002746582,-0.0165253068484772,11
2026-07-28,30,bottom,3,XLU,utilities,Utilities,公用事业,45.5200004577637,2026-06-26,46.2000007629395,-0.0147186210810901,11
